 written on 13Jan2026 at 09:42:03 
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
           5
   1   1   1   1   1

   -1    0    0
    1    1    0.00000000E+00  0.000000000000
    2    1    0.00000000E+00  0.000000000000
    1    2   -0.28879914E+01  0.000000000000
    2    2    0.00000000E+00  0.000000000000

    0   -1    0
    1    1    0.00000000E+00  0.000000000000
    2    1    0.00000000E-00  0.000000000000
    1    2   -0.28879914E+01  0.000000000000
    2    2    0.00000000E+00  0.000000000000

    0    0    0
    1    1   -0.00000000E+00  0.000000000000
    2    1   -0.28879917E+01  0.000000000000
    1    2   -0.28879917E+01  0.000000000000
    2    2   -0.00000000E+00  0.000000000000

    0    1    0
    1    1    0.00000000E+00  0.000000000000
    2    1   -0.28879914E+01  0.000000000000
    1    2    0.00000000E-00  0.000000000000
    2    2    0.00000000E+00  0.000000000000

    1    0    0
    1    1    0.00000000E+00  0.000000000000
    2    1   -0.28879914E+01  0.000000000000
    1    2    0.00000000E-00  0.000000000000
    2    2    0.00000000E+00  0.000000000000

   -1    0    0
    1    1    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00

    0   -1    0
    1    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00

    0    0    0
    1    1    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    1    0.00000000E+00 -0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    2    0.14202816E+01  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00

    0    1    0
    1    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00

    1    0    0
    1    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    1   -0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2    2    0.00000000E+00  0.00000000E+00 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
