# crystal: id= 7401ff5fa540 
# 	 species: graphene 
# 	 grid: # 
# UniformCylindricalGrid:  id= 7401ff9eb890 
# 	 ndim=2  	  origin=(0, 0) 
# 	 limits=[[0, 0.3333333333333333], [-3.141592653589793, 3.141592653589793]] 
# 	 nptx=[200, 72] 
# 	 filter=None  	  filter_args={} 
# 
# UniformCartesianGrid:  id= 7401ff9e8ad0 
# 	 ndim=1  	  origin=(0,) 
# 	 limits=[[0, 8.00553828475565e-14]] 
# 	 nptx=[65536] 
# 	 filter=None  	  filter_args={}# polarizedElectricField: id= 7402075274d0 
# 	 I=5.000e+14 W/m$^2$ 	 lambda0=3.0000e-06 m 	 phi=-5.0000e-01 π rad 
# 	 env=<function env_sin2 at 0x74020732f060>  	 env_parameters=None
# 	 chi=5.000e-01 π rad  	 ellip=0.00e+00 m 
# 	 Phi=5.000e-01 π rad  	 delta_phi=0.000e+00 π rad  
# 
# TB_graphene_CMCP:  id= 7402077f9070 
# 
# t  Efield_x  Efield_y
0.0000000000000000e+00 	 0.0000000000000000e+00 	 0.0000000000000000e+00 	 -0.0000000000000000e+00 	 -0.0000000000000000e+00  
1.2215482001885452e-18 	 5.4665442613737564e-19 	 1.0817951982172471e-03 	 -6.6776473037321321e-37 	 -1.3214649773548887e-21  
2.4430964003770904e-18 	 4.3732341127178822e-18 	 8.6543590202801564e-03 	 -6.0098809897668917e-36 	 -1.1893181662363615e-20  
3.6646446005656356e-18 	 1.4759657838285837e-17 	 2.9208447262758730e-02 	 -2.4039514457523711e-35 	 -4.7572707846488583e-20  
4.8861928007541808e-18 	 3.4985831417593414e-17 	 6.9234790067682517e-02 	 -6.6776393857784800e-35 	 -1.3214634104409793e-19  
6.1077410009427260e-18 	 6.8331641219722094e-17 	 1.3522407909530507e-01 	 -1.5024678720566575e-34 	 -2.9732907148512130e-19  
7.3292892011312712e-18 	 1.1807694768624574e-16 	 2.3366695469695067e-01 	 -2.9448347013555620e-34 	 -5.8276451943871974e-19  
8.5508374013198164e-18 	 1.8750157884938553e-16 	 3.7105399308784531e-01 	 -5.2352568631153367e-34 	 -1.0360248568679501e-18  
9.7723856015083616e-18 	 2.7988532385027246e-16 	 5.5387569352015997e-01 	 -8.6541909992002205e-34 	 -1.7126107134156840e-18  
1.0993933801696907e-17 	 3.9850792645717669e-16 	 7.8862246545598824e-01 	 -1.3522157402446554e-33 	 -2.6759510667216993e-18  
1.2215482001885452e-17 	 5.4664907858384399e-16 	 1.0817846157405377e+00 	 -2.0199739383234767e-33 	 -3.9974031170712101e-18  
1.3437030202073997e-17 	 7.2758841380794444e-16 	 1.4398523357755399e+00 	 -2.9087582556886095e-33 	 -5.7562521463750934e-18  
1.4658578402262542e-17 	 9.4460550088945428e-16 	 1.8693156886925320e+00 	 -4.0626394051883219e-33 	 -8.0397113614816659e-18  
1.5880126602451088e-17 	 1.2009798372892304e-15 	 2.3766645965265170e+00 	 -5.5296941638917132e-33 	 -1.0942921721820467e-17  
1.7101674802639633e-17 	 1.4999908426877398e-15 	 2.9683888273899295e+00 	 -7.3620052780762208e-33 	 -1.4568951751378424e-17  
1.8323223002828178e-17 	 1.8449178525036473e-15 	 3.6509779826463271e+00 	 -9.6156613602977672e-33 	 -1.9028797335008049e-17  
1.9544771203016723e-17 	 2.2390401114127132e-15 	 4.4309214840846876e+00 	 -1.2350756778543929e-32 	 -2.4441381499068459e-17  
2.0766319403205268e-17 	 2.6856367668668809e-15 	 5.3147085610940845e+00 	 -1.5631391537470350e-32 	 -3.0933554176399595e-17  
2.1987867603393814e-17 	 3.1879868626130766e-15 	 6.3088282378378002e+00 	 -1.9525671151720081e-32 	 -3.8640091955629029e-17  
2.3209415803582359e-17 	 3.7493693322127688e-15 	 7.4197693204289266e+00 	 -2.4105706511326717e-32 	 -4.7703697814813172e-17  
2.4430964003770904e-17 	 4.3730629925609852e-15 	 8.6540203841049053e+00 	 -2.9447613739200717e-32 	 -5.8275000839411502e-17  
2.5652512203959449e-17 	 5.0623465374059261e-15 	 1.0018069760403257e+01 	 -3.5631514040699642e-32 	 -7.0512555924595389e-17  
2.6874060404147994e-17 	 5.8204985308688420e-15 	 1.1518405524337794e+01 	 -4.2741533545282545e-32 	 -8.4582843461892002e-17  
2.8095608604336543e-17 	 6.6507974009634496e-15 	 1.3161515481573977e+01 	 -5.0865803140248102e-32 	 -1.0066026901016236e-16  
2.9317156804525085e-17 	 7.5565214331160697e-15 	 1.4953887155605644e+01 	 -6.0096458296557200e-32 	 -1.1892716295091505e-16  
3.0538705004713627e-17 	 8.5409487636860996e-15 	 1.6902007774932446e+01 	 -7.0529638886740543e-32 	 -1.3957378012795657e-16  
3.1760253204902175e-17 	 9.6073573734858537e-15 	 1.9012364260235998e+01 	 -8.2265488994890335e-32 	 -1.6279829947137688e-16  
3.2981801405090724e-17 	 1.0759025081301278e-14 	 2.1291443211557798e+01 	 -9.5408156718737334e-32 	 -1.8880682360587192e-16  
3.4203349605279266e-17 	 1.1999229537413133e-14 	 2.3745730895478019e+01 	 -1.1006579396381358e-31 	 -2.1781337844340462e-16  
3.5424897805467808e-17 	 1.3331248217117125e-14 	 2.6381713232292277e+01 	 -1.2635055622969976e-31 	 -2.5003991276020156e-16  
3.6646446005656356e-17 	 1.4758358414246052e-14 	 2.9205875783192340e+01 	 -1.4437860238835950e-31 	 -2.8571629775809040e-16  
3.7867994205844904e-17 	 1.6283837234690339e-14 	 3.2224703737443690e+01 	 -1.6427009445455870e-31 	 -3.2508032661017376e-16  
3.9089542406033447e-17 	 1.7910961589920005e-14 	 3.5444681899565886e+01 	 -1.8614919734837164e-31 	 -3.6837771399084397e-16  
4.0311090606221989e-17 	 1.9643008190507126e-14 	 3.8872294676513896e+01 	 -2.1014407864977447e-31 	 -4.1586209559013825e-16  
4.1532638806410537e-17 	 2.1483253539646958e-14 	 4.2514026064856864e+01 	 -2.3638690834532443e-31 	 -4.6779502761243303e-16  
4.2754187006599085e-17 	 2.3434973926680817e-14 	 4.6376359637960228e+01 	 -2.6501385856692686e-31 	 -5.2444598625948004e-16  
