 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    1    0.19132842E-04 -0.25063633E-09
    2    1   -0.12695569E-03 -0.14938507E-09
    1    2    0.10800811E-03  0.21399330E-10
    2    2    0.19151059E-04  0.22300151E-09

   -2   -3    0
    1    1    0.20581448E-03 -0.29459268E-09
    2    1   -0.12695555E-03  0.81143571E-10
    1    2   -0.69529927E-03  0.77184925E-11
    2    2    0.20577491E-03  0.24813185E-09

   -2   -2    0
    1    1    0.65656747E-03 -0.11404417E-09
    2    1   -0.82719531E-03  0.15767490E-09
    1    2   -0.37089048E-02  0.95091601E-10
    2    2    0.65651953E-03  0.11393226E-09

   -2   -1    0
    1    1    0.43161840E-02 -0.89943902E-10
    2    1   -0.48232596E-03  0.52893481E-10
    1    2   -0.13036626E-01  0.34362729E-09
    2    2    0.43162034E-02  0.13278059E-09

   -2    0    0
    1    1   -0.20082771E-01 -0.80635216E-10
    2    1    0.73811256E-02 -0.23597292E-09
    1    2    0.19682247E-01  0.68946039E-09
    2    2   -0.20083060E-01  0.17099576E-09

   -2    1    0
    1    1    0.52272988E-01 -0.46791895E-09
    2    1   -0.13036624E-01 -0.18507354E-09
    1    2    0.19682277E-01 -0.16039235E-08
    2    2    0.52273740E-01  0.68901249E-09

   -2    2    0
    1    1   -0.20082773E-01 -0.50175519E-09
    2    1   -0.13036619E-01  0.14338288E-08
    1    2   -0.13036618E-01 -0.98344664E-09
    2    2   -0.20083062E-01  0.68629962E-09

   -2    3    0
    1    1    0.43161815E-02 -0.18352312E-09
    2    1    0.73811232E-02  0.16495647E-08
    1    2   -0.37089041E-02  0.20916816E-09
    2    2    0.43162014E-02  0.30656635E-09

   -2    4    0
    1    1    0.65656739E-03 -0.23262314E-09
    2    1   -0.48232476E-03  0.56926794E-09
    1    2   -0.69529907E-03  0.38577129E-09
    2    2    0.65651850E-03  0.27231243E-09

   -2    5    0
    1    1    0.20581463E-03 -0.26015189E-09
    2    1   -0.82719536E-03 -0.68813275E-10
    1    2    0.10800818E-03  0.24812079E-09
    2    2    0.20577484E-03  0.22564541E-09

   -1   -4    0
    1    1   -0.14012137E-03 -0.29690291E-09
    2    1    0.67204746E-03 -0.23958469E-09
    1    2    0.74917549E-03  0.33705137E-09
    2    2   -0.14011020E-03  0.26678400E-09

   -1   -3    0
    1    1   -0.45655301E-03 -0.22708607E-09
    2    1   -0.40929565E-03 -0.12545873E-09
    1    2   -0.53660366E-04  0.47382698E-09
    2    2   -0.45662237E-03  0.22713661E-09

   -1   -2    0
    1    1    0.43161844E-02  0.28329474E-09
    2    1   -0.48232604E-03 -0.17217666E-09
    1    2   -0.13036627E-01  0.81117220E-09
    2    2    0.43162035E-02 -0.23098296E-09

   -1   -1    0
    1    1    0.52273007E-01 -0.11193391E-10
    2    1   -0.19704896E-01 -0.14701966E-09
    1    2   -0.25840223E+00  0.19669444E-08
    2    2    0.52273741E-01 -0.62319606E-11

   -1    0    0
    1    1    0.23947020E+00 -0.18517466E-08
    2    1    0.19682282E-01 -0.10426069E-08
    1    2   -0.28873553E+01 -0.17939894E-09
    2    2    0.23946390E+00  0.18547216E-08

   -1    1    0
    1    1    0.23947000E+00 -0.24173461E-08
    2    1   -0.25840219E+00  0.38404663E-09
    1    2   -0.25840219E+00  0.35339278E-09
    2    2    0.23946398E+00  0.24541451E-08

   -1    2    0
    1    1    0.52272989E-01 -0.60562041E-09
    2    1    0.19682276E-01  0.15149322E-08
    1    2   -0.13036625E-01  0.10658179E-08
