 written on 26Jan2026 at 09:08:27 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    2   -0.27216842E-03 -0.23938362E-09
    2    2    0.21758509E-03  0.39600168E-16
    3    2    0.23171598E-04  0.66654272E-08
    4    2    0.26578518E-03  0.51922961E-08
    1    3    0.26577732E-03 -0.11996065E-08
    2    3    0.23171598E-04 -0.66654272E-08
    3    3    0.21722775E-03  0.38740367E-16
    4    3   -0.27120259E-03 -0.30628043E-08
    1    4    0.23175354E-04  0.13009485E-08
    2    4    0.26578518E-03 -0.51922961E-08
    3    4   -0.27120259E-03  0.30628041E-08
    4    4    0.21722825E-03  0.46246791E-16

   -4   -2    0
    1    1   -0.20707270E-03  0.27249045E-09
    2    1   -0.12521738E-03 -0.14503165E-08
    3    1   -0.28401163E-03 -0.38283372E-08
    4    1    0.20362216E-03 -0.40055514E-09
    1    2   -0.18048660E-04 -0.73638534E-09
    2    2   -0.20707437E-03  0.11221456E-08
    3    2    0.89252397E-04  0.27064642E-08
    4    2   -0.28327452E-03 -0.29236049E-09
    1    3   -0.28326883E-03 -0.46571435E-08
    2    3    0.20362389E-03 -0.56033365E-08
    3    3   -0.20536539E-03  0.26005144E-08
    4    3   -0.12635054E-03  0.40897563E-08
    1    4    0.89252202E-04  0.20345603E-08
    2    4   -0.28402136E-03  0.62686425E-09
    3    4   -0.18525877E-04  0.31853896E-08
    4    4   -0.20535862E-03 -0.60493196E-09

   -4   -1    0
    1    1   -0.46289642E-04  0.33341451E-08
    2    1    0.70983058E-03 -0.44702545E-08
    3    1   -0.81105564E-04 -0.42180558E-08
    4    1   -0.82427654E-04 -0.41588112E-09
    1    2    0.58861334E-03 -0.27564891E-08
    2    2   -0.46291585E-04 -0.97384229E-09
    3    2   -0.21515673E-04 -0.11425346E-08
    4    2   -0.81208823E-04  0.33706125E-08
    1    3   -0.81207778E-04 -0.26815792E-08
    2    3   -0.82425238E-04  0.32142152E-08
    3    3   -0.46708491E-04 -0.57245734E-09
    4    3    0.70959603E-03 -0.29868839E-08
    1    4   -0.21513034E-04  0.89797609E-09
    2    4   -0.81107270E-04  0.33257718E-08
    3    4    0.58856653E-03  0.22570832E-08
    4    4   -0.46709386E-04  0.80420046E-09

   -4    0    0
    1    1   -0.17591970E-03 -0.26922323E-08
    2    1   -0.30776690E-03 -0.34854296E-09
    3    1   -0.16896739E-03 -0.28896339E-08
    4    1   -0.38011376E-04  0.65977080E-09
    1    2    0.11067160E-02  0.20134194E-08
    2    2   -0.17593187E-03  0.10082411E-08
    3    2   -0.10019051E-03 -0.22961951E-08
    4    2   -0.16895992E-03  0.67459047E-08
    1    3   -0.16896348E-03 -0.23859648E-09
    2    3   -0.38004577E-04 -0.46077939E-08
    3    3   -0.17465553E-03  0.94275258E-09
    4    3   -0.30816993E-03 -0.54789858E-09
    1    4   -0.10018759E-03  0.10302950E-08
    2    4   -0.16896200E-03  0.69221248E-09
    3    4    0.11068411E-02 -0.78824910E-09
    4    4   -0.17465442E-03 -0.71307692E-08

   -4    1    0
    1    1   -0.79508305E-04 -0.22585625E-08
    2    1    0.58862283E-03  0.89518118E-09
    3    1    0.33360512E-03  0.39252149E-09
    4    1   -0.21508162E-04  0.20482579E-08
    1    2   -0.14886446E-02 -0.36123713E-08
    2    2   -0.79505171E-04  0.21809783E-08
    3    2    0.12973289E-03  0.35697449E-08
    4    2    0.33418243E-03 -0.46886723E-09
    1    3    0.33418389E-03  0.31536350E-08
    2    3   -0.21512107E-04 -0.65820552E-08
    3    3   -0.81076658E-04 -0.60250587E-08
    4    3    0.58857178E-03  0.99407277E-09
    1    4    0.12973934E-03 -0.14659736E-08
    2    4    0.33360282E-03 -0.73910483E-09
    3    4   -0.14890501E-02  0.85885195E-08
    4    4   -0.81071384E-04  0.25192491E-08

   -4    2    0
    1    1    0.79873284E-03  0.12593734E-07
    2    1   -0.33236522E-03 -0.23106015E-08
    3    1   -0.32314546E-03 -0.92415557E-08
    4    1   -0.73273459E-04 -0.44780577E-08
    1    2   -0.14886440E-02  0.10525688E-08
    2    2    0.79873172E-03 -0.18518278E-08
    3    2    0.12973654E-03  0.37988875E-08
    4    2   -0.32395285E-03  0.30496848E-08
    1    3   -0.32395870E-03 -0.54309525E-08
    2    3   -0.73269034E-04  0.24237484E-08
    3    3    0.80034568E-03  0.61670546E-08
    4    3   -0.33225453E-03 -0.27646189E-08
    1    4    0.12974223E-03  0.98755512E-08
    2    4   -0.32313058E-03  0.83465921E-08
    3    4   -0.14890569E-02 -0.22513578E-08
    4    4    0.80033946E-03 -0.59984585E-08

   -4    3    0
    1    1   -0.79516322E-04 -0.31562766E-08
    2    1   -0.33236448E-03 -0.15687904E-08
    3    1    0.33360914E-03  0.18430257E-08
    4    1   -0.73278766E-04 -0.65227534E-09
    1    2    0.11067208E-02  0.26854225E-08
    2    2   -0.79512914E-04  0.44492124E-08
    3    2   -0.10018210E-03 -0.11182481E-08
    4    2    0.33418106E-03 -0.31261524E-08
    1    3    0.33417698E-03 -0.40546408E-08
    2    3   -0.73274538E-04 -0.76497646E-08
    3    3   -0.81078696E-04  0.14871185E-08
    4    3   -0.33224598E-03 -0.54144491E-08
    1    4   -0.10019208E-03 -0.16343015E-08
    2    4    0.33361192E-03  0.85717332E-09
    3    4    0.11068413E-02  0.99107334E-08
    4    4   -0.81074122E-04  0.25827258E-09

   -4    4    0
    1    1   -0.17592333E-03  0.19541376E-08
    2    1    0.58861905E-03 -0.30121995E-08
    3    1   -0.16896214E-03  0.66134749E-09
    4    1   -0.21514362E-04 -0.23244845E-08
    1    2    0.58862218E-03  0.25157569E-08
    2    2   -0.17592776E-03  0.29462898E-08
    3    2   -0.21508986E-04  0.11571967E-09
    4    2   -0.16896103E-03 -0.20318405E-08
    1    3   -0.16897041E-03 -0.44700177E-09
    2    3   -0.21512670E-04 -0.98043273E-08
    3    3   -0.17465745E-03  0.18891893E-08
    4    3    0.58857521E-03  0.25384250E-08
    1    4   -0.21508104E-04 -0.31933094E-08
    2    4   -0.16895668E-03 -0.41772731E-08
    3    4    0.58856719E-03  0.42545078E-08
    4    4   -0.17465491E-03  0.17728469E-08

   -4    5    0
    1    1   -0.46295346E-04  0.71925549E-08
    2    1   -0.30777493E-03 -0.42228092E-08
    3    1   -0.81110029E-04 -0.31988656E-08
    4    1   -0.38005754E-04  0.42573676E-09
    1    2   -0.18050289E-04 -0.61425028E-08
    2    2   -0.46292197E-04 -0.70572285E-08
    3    2    0.89248278E-04  0.86090658E-08
    4    2   -0.81207499E-04  0.12167001E-08
    1    3   -0.81204619E-04 -0.32001530E-09
    2    3   -0.38006214E-04 -0.29663439E-08
    3    3   -0.46709075E-04  0.41515470E-08
    4    3   -0.30817582E-03 -0.58668161E-09
    1    4    0.89260769E-04  0.40863868E-08
    2    4   -0.81104974E-04  0.89285619E-09
    3    4   -0.18527598E-04 -0.31153622E-08
    4    4   -0.46712062E-04 -0.31729256E-08

   -4    6    0
    1    1   -0.20707453E-03  0.24895236E-09
    2    1    0.70983205E-03 -0.76740743E-08
    3    1   -0.28402087E-03  0.17551832E-08
    4    1   -0.82425882E-04 -0.22318284E-08
    1    2    0.17980990E-03  0.21380695E-08
    2    2   -0.20707488E-03  0.13025325E-08
    3    2    0.18441998E-04 -0.27437670E-08
    4    2   -0.28326699E-03 -0.65536136E-08
    1    3   -0.28326465E-03  0.59671535E-08
    2    3   -0.82424087E-04  0.56722404E-08
    3    3   -0.20536467E-03 -0.11135922E-08
    4    3    0.70959688E-03 -0.46299910E-08
    1    4    0.18439578E-04  0.24183039E-08
    2    4   -0.28402001E-03 -0.23992022E-08
    3    4    0.17988798E-03  0.12632239E-08
    4    4   -0.20536402E-03 -0.25955714E-09

   -3   -3    0
    1    1   -0.59924295E-04 -0.39419532E-08
    2    1    0.26110244E-03 -0.31826373E-08
    3    1    0.15566940E-03  0.57478765E-09
    4    1   -0.75819933E-03  0.19853031E-08
    1    2   -0.40539125E-03 -0.22010957E-08
    2    2   -0.59924369E-04  0.75262055E-09
    3    2   -0.10135906E-03  0.22545343E-08
    4    2    0.15529890E-03 -0.15085465E-08
    1    3    0.15530559E-03  0.18302763E-08
    2    3   -0.75819877E-03  0.35700654E-08
    3    3   -0.60701478E-04 -0.25073042E-08
    4    3    0.26465318E-03 -0.35454248E-08
    1    4   -0.10135757E-03  0.33938857E-08
    2    4    0.15566487E-03 -0.10520030E-08
    3    4   -0.40533977E-03  0.39249590E-10
    4    4   -0.60698742E-04  0.59344175E-08

   -3   -2    0
    1    1    0.38976336E-03 -0.74306873E-08
    2    1   -0.12521810E-03 -0.31233899E-09
    3    1    0.38220233E-04 -0.40667284E-08
    4    1    0.20362059E-03  0.61051116E-09
    1    2   -0.33236553E-03  0.33803601E-08
    2    2    0.38975790E-03  0.42602884E-08
    3    2   -0.73278408E-04 -0.39208332E-08
    4    2    0.38084321E-04 -0.32040609E-08
    1    3    0.38079693E-04  0.16835716E-08
    2    3    0.20362298E-03 -0.98898257E-09
    3    3    0.38974412E-03 -0.65783629E-09
    4    3   -0.12634372E-03 -0.33653280E-08
    1    4   -0.73273243E-04  0.69197634E-08
    2    4    0.38227648E-04  0.44311567E-09
    3    4   -0.33225625E-03  0.47379401E-08
    4    4    0.38973633E-03  0.35497957E-08

   -3   -1    0
    1    1   -0.79521116E-04 -0.17257422E-09
    2    1   -0.14270307E-03 -0.34895584E-08
    3    1    0.33419064E-03 -0.40357676E-08
    4    1   -0.11928933E-03 -0.29468155E-08
    1    2   -0.72531322E-03  0.46803657E-08
    2    2   -0.79509544E-04  0.36060627E-08
    3    2    0.10255854E-03  0.28684690E-08
    4    2    0.33360344E-03  0.46310779E-08
    1    3    0.33360976E-03  0.39372709E-09
    2    3   -0.11929306E-03 -0.20157874E-08
    3    3   -0.81080958E-04 -0.18693590E-08
    4    3   -0.14134236E-03  0.18609538E-08
    1    4    0.10256595E-03 -0.64248348E-08
    2    4    0.33418809E-03 -0.19373686E-08
    3    4   -0.72649337E-03  0.41228151E-08
    4    4   -0.81073800E-04  0.45235595E-08

   -3    0    0
    1    1   -0.27626866E-02 -0.18491735E-09
    2    1    0.11067283E-02  0.11280115E-08
    3    1    0.14587085E-03 -0.45436814E-08
    4    1   -0.10019126E-03  0.50821701E-09
    1    2    0.65730756E-02 -0.62279892E-08
    2    2   -0.27626865E-02  0.65440472E-08
    3    2    0.13217156E-03  0.48183506E-08
    4    2    0.14588220E-03 -0.22497391E-08
    1    3    0.14586864E-03 -0.10345753E-08
    2    3   -0.10019542E-03  0.25992856E-09
    3    3   -0.27617337E-02  0.64138764E-09
